text;label
"""Хочу заказать крупную сумму в швейцарских франках в отделение.""";Обмен валют
"""Можно ли купить дирхамы ОАЭ в главном офисе?""";Обмен валют
"""Как работает конвертация, если я плачу рублевой картой за границей?""";Обмен валют
"""Почему курс в приложении отличается от курса на табло в офисе?""";Обмен валют
"""Нужен ли паспорт для обмена валюты на сумму до 40 тысяч рублей?""";Обмен валют
"""Как открыть счет в турецких лирах онлайн?""";Обмен валют
"""У вас можно сдать ветхие купюры долларов с комиссией?""";Обмен валют
"""Какой лимит на снятие наличной валюты со счета в этом месяце?""";Обмен валют
"""Я хочу купить золото в слитках, какой курс за грамм?""";Обмен валют
"""Можно ли перевести валюту в другой банк через Swift?""";Обмен валют
"""Обмениваете ли вы сейчас фунты стерлингов?""";Обмен валют
"""Как установить уведомление о достижении нужного курса доллара?""";Обмен валют
"""Какой кросс-курс при обмене евро на доллары напрямую?""";Обмен валют
"""Можно ли снять тенге в ваших банкоматах?""";Обмен валют
"""Хочу заблокировать курс для обмена крупной суммы на час.""";Обмен валют
"""Вы принимаете доллары старого образца (синие/белые)?""";Обмен валют
"""Где посмотреть график изменения курса лиры за неделю?""";Обмен валют
"""Как перевести компанию на обслуживание по зарплатному проекту?""";Зарплатные проекты
"""Какие льготы по кредитам есть для зарплатных клиентов?""";Зарплатные проекты
"""Мне не пришла зарплата на карту, хотя коллеги уже получили.""";Зарплатные проекты
"""Хочу заказать дополнительные карты для сотрудников в рамках договора.""";Зарплатные проекты
"""Как выпустить зарплатную карту «Мир» новому сотруднику?""";Зарплатные проекты
"""Можно ли снимать наличные без комиссии в любых банкоматах?""";Зарплатные проекты
"""Как подключить индивидуальный зарплатный проект для самозанятого?""";Зарплатные проекты
"""У меня изменилась фамилия, как перевыпустить зарплатный пластик?""";Зарплатные проекты
"""Где взять справку о доходах по форме банка для зарплатника?""";Зарплатные проекты
"""Почему с моей зарплатной карты списали комиссию за обслуживание?""";Зарплатные проекты
"""Как перенести день выплаты зарплаты в системе банка?""";Зарплатные проекты
"""Предоставляете ли вы овердрафт для тех, кто получает у вас зп?""";Зарплатные проекты
"""Хочу сменить банк для получения зарплаты, что написать в бухгалтерии?""";Зарплатные проекты
"""Какие бонусы и кэшбэк предусмотрены для вашей зарплатной программы?""";Зарплатные проекты
"""Как активировать новую карту, которую выдали на работе?""";Зарплатные проекты
"""Можно ли привязать зарплатный счет к семейному доступу?""";Зарплатные проекты
"""Почему не работает бесконтактная оплата на рабочей карте?""";Зарплатные проекты
"""Хочу выпустить виртуальную зарплатную карту взамен физической.""";Зарплатные проекты
"""Как заблокировать корпоративную карту при увольнении сотрудника?""";Зарплатные проекты
"""Где посмотреть реестр зачислений зарплаты в личном кабинете?""";Зарплатные проекты
"""Не могу войти в личный кабинет, пишет 'неверный пароль'.""";Онлайн-банкинг
"""Как восстановить доступ к приложению, если потерял телефон?""";Онлайн-банкинг
"""Где в мобильном банке посмотреть историю операций за месяц?""";Онлайн-банкинг
"""Хочу изменить лимит на переводы через СБП.""";Онлайн-банкинг
"""Приложение постоянно вылетает при попытке оплатить QR-кодом.""";Онлайн-банкинг
"""Как скрыть баланс счетов на главном экране приложения?""";Онлайн-банкинг
"""Мне не приходит СМС-код для подтверждения входа.""";Онлайн-банкинг
"""Можно ли установить мобильный банк на iPhone сейчас?""";Онлайн-банкинг
"""Как подключить уведомления об операциях в пуш-формате?""";Онлайн-банкинг
"""Хочу сменить привязанный номер телефона через личный кабинет.""";Онлайн-банкинг
"""Как создать шаблон для регулярной оплаты коммунальных услуг?""";Онлайн-банкинг
"""Ваш сайт не открывается через браузер Safari, что делать?""";Онлайн-банкинг
"""Как выгрузить чек по операции в формате PDF?""";Онлайн-банкинг
"""Где найти реквизиты своего счета в онлайн-приложении?""";Онлайн-банкинг
"""Безопасно ли заходить в банк через общественный Wi-Fi?""";Онлайн-банкинг
"""Как заблокировать доступ в онлайн-банк, если я заметил подозрительный вход?""";Онлайн-банкинг
"""Есть ли у вас веб-версия банка для компьютера?""";Онлайн-банкинг
"""Как переименовать свои счета для удобства в приложении?""";Онлайн-банкинг
"""Не отображается новая карта в списке моих продуктов.""";Онлайн-банкинг
"""Как включить темную тему в мобильном интерфейсе?""";Онлайн-банкинг
"""Как оформить полис страхования жилья при ипотеке?""";Страхование
"""Хочу застраховать банковскую карту от мошеннических действий.""";Страхование
"""Что делать, если наступил страховой случай по программе защиты здоровья?""";Страхование
"""Как расторгнуть договор страхования в 'период охлаждения' и вернуть деньги?""";Страхование
"""Нужна страховка для выезда за границу, сколько она стоит?""";Страхование
"""Какие риски покрывает полис КАСКО, оформленный через ваш банк?""";Страхование
"""Как продлить страховку жизни на следующий год?""";Страхование
"""Где найти номер своего электронного полиса страхования?""";Страхование
"""Можно ли застраховать технику, купленную в кредит?""";Страхование
"""Как получить страховую выплату при потере работы?""";Страхование
"""Ваша страховка покрывает лечение от коронавируса или других вирусов?""";Страхование
"""Какие документы нужны для подачи заявления на возмещение ущерба?""";Страхование
"""Хочу изменить выгодоприобретателя в договоре страхования.""";Страхование
"""Почему стоимость страховки выросла по сравнению с прошлым годом?""";Страхование
"""Предоставляете ли вы накопительное страхование жизни (НСЖ)?""";Страхование
"""Как проверить, активен ли мой текущий страховой полис?""";Страхование
"""Входит ли стоматология в вашу программу ДМС?""";Страхование
"""Можно ли объединить несколько страховок в один пакет?""";Страхование
"""Как работает страхование вкладов, если сумма превышает 1.4 миллиона?""";Страхование
"""Требуется ли осмотр квартиры перед покупкой полиса защиты имущества?""";Страхование
